year,period,state_fips,county_fips,county_name,soil_moisture_vol
2010,jun,37,107,Lenoir,0.385381824617726
2010,jun,37,129,New Hanover,0.15321175713633153
2010,jun,37,141,Pender,0.3574672126441975
2010,jun,37,051,Cumberland,0.2551957576287139
2010,jun,37,147,Pitt,0.32165612179061615
2010,jun,37,013,Beaufort,0.31386996817436696
2011,jun,17,121,Marion,0.4236339500120196
2011,jun,17,005,Bond,0.4314268792665083
2011,jun,17,083,Jersey,0.33791866816570776
2011,jun,17,163,St. Clair,0.3783081149876293
2011,jun,17,027,Clinton,0.4301828101538263
2011,jun,17,013,Calhoun,0.34245143282797813
2011,jun,17,119,Madison,0.3844678465450381
2011,jun,17,133,Monroe,0.34109306051695426
2011,jun,17,117,Macoupin,0.3573120282600684
2011,jun,17,171,Scott,0.35599874038607326
2011,jun,17,137,Morgan,0.35571500917266496
2011,jun,17,107,Logan,0.36201015726163605
2011,jun,17,129,Menard,0.3597382318698301
2011,jun,17,167,Sangamon,0.35168755278536545
2011,jun,17,021,Christian,0.3486764895868268
2011,jun,17,127,Massac,0.284084020424742
2011,jun,17,057,Fulton,0.3688349733244747
2011,jun,17,175,Stark,0.3733793737371497
2011,jun,17,203,Woodford,0.3672463285969508
2011,jun,17,179,Tazewell,0.3692804335195124
2011,jun,17,123,Marshall,0.3702877104259793
2011,jun,17,143,Peoria,0.3716771060158986
2011,jun,17,001,Adams,0.3677070791268667
2011,jun,17,177,Stephenson,0.37089657737448756
2011,jun,17,141,Ogle,0.37081480467955347
2011,jun,17,201,Winnebago,0.3671264535111216
2011,jun,17,007,Boone,0.3696308645386402
2011,jun,17,025,Clay,0.42011597568610803
2011,jun,17,185,Wabash,0.346430913817306
2011,jun,17,009,Brown,0.36793096329543173
2011,jun,17,151,Pope,0.2770703453948904
2011,jun,17,033,Crawford,0.3829544116402183
2011,jun,17,135,Montgomery,0.38901549528216905
2011,jun,17,055,Franklin,0.4070498521697629
2011,jun,17,023,Clark,0.37739862226188176
2011,jun,17,059,Gallatin,0.30517484947986395
2011,jun,17,075,Iroquois,0.35188795358332126
2011,jun,17,041,Douglas,0.3342277210873873
2011,jun,17,189,Washington,0.42665931252834083
2011,jun,17,159,Richland,0.4233530627389772
2011,jun,17,065,Hamilton,0.3941496932597849
2011,jun,17,193,White,0.33090655834338784
2011,jun,17,169,Schuyler,0.365944149556341
2011,jun,17,181,Union,0.27742889723703856
2011,jun,17,085,Jo Daviess,0.3772610997912539
2011,jun,17,125,Mason,0.3660100281215692
2011,jun,17,191,Wayne,0.40069481365098164
2011,jun,17,069,Hardin,0.2903661744695159
2011,jun,17,061,Greene,0.3453752715623627
2011,jun,17,157,Randolph,0.3516167243352468
2011,jun,17,149,Pike,0.35985274406678175
2011,jun,17,145,Perry,0.4044430358614706
2011,jun,17,087,Johnson,0.27648562455212355
2011,jun,17,173,Shelby,0.39400955574407015
2011,jun,17,051,Fayette,0.4257757824058252
2011,jun,17,139,Moultrie,0.3458631379850424
2011,jun,17,017,Cass,0.3636409442203235
2011,jun,17,015,Carroll,0.37792167566501106
2011,jun,17,047,Edwards,0.3878361466339
2011,jun,17,079,Jasper,0.41066824736733487
2011,jun,17,187,Warren,0.37354576651085647
2011,jun,17,153,Pulaski,0.2780895837920338
2011,jun,17,165,Saline,0.3400290878123126
2011,jun,17,101,Lawrence,0.3826297505778477
2011,jun,17,045,Edgar,0.3251839955854194
2011,jun,17,071,Henderson,0.37542582901362936
2011,jun,17,199,Williamson,0.34993403863646927
2011,jun,17,077,Jackson,0.32281381283132626
2011,jun,17,147,Piatt,0.34616983211927027
2011,jun,17,053,Ford,0.36211312562859116
2011,jun,17,019,Champaign,0.3396546373282073
2011,jun,17,029,Coles,0.3403473520789528
2011,jun,17,035,Cumberland,0.4085633399341869
2011,jun,17,183,Vermilion,0.3406854325240713
2011,jun,17,115,Macon,0.3532291130798087
2011,jun,17,049,Effingham,0.4216955318935316
2011,jun,17,067,Hancock,0.37220917702044737
2011,jun,17,095,Knox,0.3757983204181075
2011,jun,17,109,McDonough,0.36839260549106567
2011,jun,17,081,Jefferson,0.41778234415003407
2011,jun,17,113,McLean,0.36402830552757615
2011,jun,17,039,De Witt,0.36066706902774115
2011,jun,17,105,Livingston,0.36454327766428507
2011,jun,17,003,Alexander,0.26392326670389404
2011,jun,17,093,Kendall,0.3659736488104628
2011,jun,17,031,Cook,0.22757359428980767
2011,jun,17,037,DeKalb,0.371062018048386
2011,jun,17,089,Kane,0.3750850983428813
2011,jun,17,063,Grundy,0.3366087899508218
2011,jun,17,111,McHenry,0.3786174056754275
2011,jun,17,197,Will,0.35578153626414055
2011,jun,17,043,DuPage,0.3769636606862843
2011,jun,17,097,Lake,0.1560647234206761
2011,jun,17,091,Kankakee,0.2881259447064204
2011,jun,17,011,Bureau,0.36727597318463506
2011,jun,17,155,Putnam,0.37032480209359664
2011,jun,17,099,LaSalle,0.36215337734624214
2011,jun,17,131,Mercer,0.37612832006245234
2011,jun,17,161,Rock Island,0.3756212814971302
2011,jun,17,073,Henry,0.37385180874162727
2011,jun,17,103,Lee,0.36890151761917084
2011,jun,17,195,Whiteside,0.3718159321130111
2011,jun,19,149,Plymouth,0.28215895378258665
2011,jun,19,193,Woodbury,0.34951332891944026
2011,jun,19,027,Carroll,0.3829762627665096
2011,jun,19,061,Dubuque,0.3684428752745018
2011,jun,19,101,Jefferson,0.37574287348610197
2011,jun,19,187,Webster,0.3751048483801065
2011,jun,19,111,Lee,0.37626707829401096
2011,jun,19,127,Marshall,0.3791944722727202
2011,jun,19,195,Worth,0.3647235008953992
2011,jun,19,033,Cerro Gordo,0.3627908617520214
2011,jun,19,051,Davis,0.3753894787962449
2011,jun,19,179,Wapello,0.3754124293992488
2011,jun,19,041,Clay,0.3496640638012409
2011,jun,19,059,Dickinson,0.36929446095456686
2011,jun,19,021,Buena Vista,0.3536715514568276
2011,jun,19,013,Black Hawk,0.36563336564588444
2011,jun,19,075,Grundy,0.3694924918357334
2011,jun,19,017,Bremer,0.355844473748603
2011,jun,19,085,Harrison,0.36304043307872896
2011,jun,19,129,Mills,0.34656643878839555
2011,jun,19,155,Pottawattamie,0.36224243685767965
2011,jun,19,123,Mahaska,0.378100515113467
2011,jun,19,125,Marion,0.3784138238451103
2011,jun,19,053,Decatur,0.35793764766491226
2011,jun,19,031,Cedar,0.37180256508335124
2011,jun,19,151,Pocahontas,0.37248356261544385
2011,jun,19,109,Kossuth,0.36829992772082804
2011,jun,19,089,Howard,0.3516536055815031
2011,jun,19,147,Palo Alto,0.3715997400690217
2011,jun,19,159,Ringgold,0.35566455444833645
2011,jun,19,025,Calhoun,0.37561759592156085
2011,jun,19,039,Clarke,0.3642544450048648
2011,jun,19,065,Fayette,0.35050711711338733
2011,jun,19,001,Adair,0.37548591170065315
2011,jun,19,037,Chickasaw,0.35059910877719996
2011,jun,19,081,Hancock,0.3676505074423318
2011,jun,19,157,Poweshiek,0.3780779582695878
2011,jun,19,165,Shelby,0.37904867769816375
2011,jun,19,185,Wayne,0.36405575128355455
2011,jun,19,097,Jackson,0.3709391872731398
2011,jun,19,043,Clayton,0.3583980036051437
2011,jun,19,007,Appanoose,0.3728520719236296
2011,jun,19,177,Van Buren,0.37666602492349294
2011,jun,19,197,Wright,0.36884378218692454
2011,jun,19,137,Montgomery,0.36159044775481974
2011,jun,19,175,Union,0.3701748137080097
2011,jun,19,107,Keokuk,0.3747853269740062
2011,jun,19,131,Mitchell,0.3597806974364889
2011,jun,19,191,Winneshiek,0.34327787826666045
2011,jun,19,161,Sac,0.3530421519988606
2011,jun,19,055,Delaware,0.363692597575774
2011,jun,19,067,Floyd,0.35319078005447485
2011,jun,19,009,Audubon,0.3823573838539321
2011,jun,19,079,Hamilton,0.37454629928648053
2011,jun,19,069,Franklin,0.3598950417326348
2011,jun,19,141,O'Brien,0.24841497067892013
2011,jun,19,167,Sioux,0.266836428848684
2011,jun,19,005,Allamakee,0.3549320209497317
2011,jun,19,189,Winnebago,0.36594751381795315
2011,jun,19,093,Ida,0.31910386133793855
2011,jun,19,029,Cass,0.3747267004211228
2011,jun,19,083,Hardin,0.3738090377840701
2011,jun,19,173,Taylor,0.35577265641075323
2011,jun,19,145,Page,0.3435252161907033
2011,jun,19,035,Cherokee,0.2699702936808681
2011,jun,19,071,Fremont,0.32332315453931354
2011,jun,19,095,Iowa,0.3701936126904037
2011,jun,19,023,Butler,0.35462639769840953
2011,jun,19,063,Emmet,0.3711597293881124
2011,jun,19,047,Crawford,0.37960010465002525
2011,jun,19,019,Buchanan,0.3669937333604765
2011,jun,19,143,Osceola,0.30623467763624035
2011,jun,19,073,Greene,0.3796461934408306
