state_fips,county_fips,county_name,elevation_m,slope_deg
19,073,Greene,329.7964016796608,2.611183612048851
19,087,Henry,211.84250667830784,2.740167061743896
19,119,Lyon,429.3561484003268,2.949938233590863
19,003,Adams,370.6546335068859,5.255903689352286
19,133,Monona,351.02106652237677,4.481295557942018
19,091,Humboldt,344.1052955710494,2.0180430775434486
19,115,Louisa,194.7868292601577,2.5352411999888105
19,171,Tama,285.3405689799708,3.5861560011230837
19,135,Monroe,270.51015259169355,5.168678005549001
19,117,Lucas,298.0266209542473,5.054372199528497
19,057,Des Moines,205.9947906024673,2.6376225992895765
19,011,Benton,267.92633734950647,3.1743347340593924
19,113,Linn,259.79770652661387,3.357976534824042
19,105,Jones,268.29495784770336,3.609153032799477
19,103,Johnson,225.8704322851691,3.4205915352444305
19,183,Washington,221.39688535858014,3.048021119712151
19,045,Clinton,219.83230826562922,2.827902307272892
19,163,Scott,216.19496929801062,2.5311330234191014
19,139,Muscatine,204.29336313751955,2.6944521978880047
19,169,Story,308.07062961502146,3.0406437317480033
19,015,Boone,322.0265223889219,3.7483324955779715
19,121,Madison,324.83185610466745,5.4575610152364495
19,181,Warren,275.0638861348556,5.213174471391805
19,049,Dallas,302.63789921394255,4.913330027115376
19,153,Polk,274.8907219139002,5.017824976238002
19,077,Guthrie,363.32794037401,4.682106202727207
19,099,Jasper,271.4528653601906,3.7356675784831745
31,043,Dakota,373.76396817984136,4.18585231938018
31,051,Dixon,427.9646806842704,4.437738393318775
31,053,Dodge,393.76165867935106,2.7124858725163286
31,025,Cass,356.81582245545474,3.3499171760860498
31,055,Douglas,351.55050974894783,3.942413834039609
31,153,Sarpy,338.30283326559476,3.6856356712084306
31,155,Saunders,391.0107650131983,2.9361973021714567
31,177,Washington,363.59093630636596,4.0437636340761856
31,067,Gage,415.2539797441667,2.8524457551291036
31,109,Lancaster,393.3421797166844,3.105353025077546
31,159,Seward,457.75196415682103,2.9682325295235352
31,139,Pierce,519.7841706688987,2.90209876678535
