year,county_fips,county_name,yield_bu_acre,ndvi_corn_mean,corn_pixel_count,precip_sum_mm,tmean_c,tmax_c,tmin_c
2018,113,LINN,215.4,0.8045791345893767,13016,482.0300069225422,22.261077599112923,28.01874221985173,16.504409049117847
2019,113,LINN,223.7,0.78965183714379,14292,249.20714722154483,21.80420625564417,27.63925848424332,15.969253533792743
2020,113,LINN,164.9,0.776837340440869,14481,305.2492156045406,22.540072683216565,28.637579804740657,16.44266696698723
2022,113,LINN,215.0,0.8175295894775529,13049,364.35016002870503,22.129722300928456,28.135767261560865,16.12382122568081
2023,113,LINN,179.5,0.7767767885246343,13431,162.03397298127206,22.199788284860137,28.984913345283157,15.414805322430787
2010,115,LOUISA,125.1,0.7727623808514467,8348,552.1427507625873,24.540109182517476,29.88573482490105,19.195484618469077
2011,115,LOUISA,148.9,0.7703471085151425,7545,250.8868654432573,24.182322143665825,29.84505980532616,18.520580275125003
2012,115,LOUISA,162.9,0.7680841377499826,6817,228.9981450874741,24.143073505444104,30.952903253746904,17.334223766233446
2013,115,LOUISA,158.5,0.7558014657156281,6889,126.22162567977,22.65685058532219,28.540893479015462,16.773809052886506
2014,115,LOUISA,188.2,0.8399261525617482,6533,373.4532932587934,22.084295622158987,27.30949984563168,16.860085395194705
2015,115,LOUISA,181.7,0.8079000588644261,7222,421.226545885555,22.252922753378407,27.665943433471064,16.840884512401075
2016,115,LOUISA,200.2,0.821562719892441,7057,453.46323820810227,23.711297982688972,29.311337255446375,18.112250545445296
2017,115,LOUISA,216.6,0.8231536852039583,7127,218.69654186741013,22.633985804151024,29.02885411878678,16.240117897429325
2018,115,LOUISA,196.5,0.7676185953741609,6834,306.5592178308652,23.699744478980012,29.53085422635785,17.8696422122872
2019,115,LOUISA,174.6,0.7484498048085912,7056,228.46274890841164,23.226641394168528,28.76056856452211,17.692815541962624
2020,115,LOUISA,181.6,0.8082921718441995,7306,284.46517403032817,23.647844561853173,29.380954770302097,17.91483610532219
2021,115,LOUISA,189.5,0.8076487005023424,7237,369.4981993573229,23.78636192647952,29.358445096294,18.205973913770578
2022,115,LOUISA,196.3,0.8307854468624708,7020,218.6087625525485,23.35073006434807,29.069438276517065,17.632164072836378
2010,117,LUCAS,71.2,0.734123276606576,2335,697.5390777822822,23.931765342781983,29.342465183935214,18.522057462507277
2011,117,LUCAS,114.9,0.7592269768333523,3232,394.46695788949535,24.065458874929153,29.43874236314573,18.693161570944163
2012,117,LUCAS,85.3,0.7074841418075098,2623,214.45429122043507,24.2751565915027,31.299407559057723,17.25190167902316
2013,117,LUCAS,117.9,0.7292061311055557,3255,185.56724880093628,22.40442602364531,28.190350592224064,16.61951768687425
2014,117,LUCAS,153.7,0.8075294781167819,3162,507.0567077925597,21.611238201237075,27.043712015355208,16.179743161923668
2015,117,LUCAS,154.8,0.7853954764981016,2985,539.3170250578127,21.93515805297323,27.24989524824308,16.621420056949493
2016,117,LUCAS,174.6,0.8065983092757335,2866,296.29192481641945,23.29072452674892,28.991043130748825,17.591387797746943
2020,117,LUCAS,149.2,0.7648770647921127,2588,226.04261739523852,23.51178686773848,29.460335222337505,17.563340077910734
2021,117,LUCAS,166.1,0.7856429891472899,2790,428.1036952685887,23.528946150396013,29.512174706224737,17.60051816805367
2022,117,LUCAS,139.5,0.7671447048636707,2421,180.8579624858309,23.45263347090947,29.647472933535433,17.257937063279446
2023,117,LUCAS,173.9,0.8114577815598011,2845,215.3851299657663,22.810987708978363,29.049730140627975,16.57238717399672
2010,119,LYON,195.2,0.8192345877277213,15440,495.9781088024195,22.257594607337495,28.248722093871184,16.267465798782162
2011,119,LYON,185.4,0.8087042341804926,15828,264.02309180249875,22.10711613415024,28.108962806142408,16.106275712887225
2012,119,LYON,161.6,0.7863511850606986,16083,111.4895799309258,23.351127481390687,30.38466641326574,16.31857929303322
2013,119,LYON,190.5,0.7602935146714361,16304,205.9433042531107,21.23594210369398,27.298882487316703,15.173985964816175
2014,119,LYON,172.9,0.7871177268338816,15779,456.40189995464334,20.51097498191907,26.22442070275655,14.798525602604968
2015,119,LYON,196.0,0.8266015687397816,16027,303.15842844639945,20.97225293443758,27.047698739591983,14.89780973139592
2016,119,LYON,206.9,0.8178233272451498,16332,211.66756263708615,22.08645850428376,28.401023338067557,15.7728833463712
2017,119,LYON,218.9,0.8207027985585044,15874,254.35821343263615,21.309884719159545,27.783338691756367,14.837428390721293
2018,119,LYON,193.0,0.8072601161735941,16066,533.2128994085393,21.984808496814683,27.780850595708753,16.189755295610492
2019,119,LYON,186.5,0.7712237594310141,17327,327.6148451403247,21.393126585304064,27.224467445946473,15.561886533430345
2020,119,LYON,197.0,0.8052864737244474,17326,195.95061054471557,23.033308807755457,29.61130163688625,16.45541665277174
